distance_pixel,R_raw,ExR_raw,Lab_a_raw,selected_raw_native,selected_raw_oriented,selected_smoothed,selected_normalized
-18.0,250.0,168.0,-5.950594777514306,168.0,168.0,168.0007910674147,-0.027843482017281672
-17.75,250.0,168.0,-5.950594777514306,168.0,168.0,168.0022786416873,-0.027796102900042415
-17.5,250.0,168.0,-5.950594777514306,168.0,168.0,168.00591141178037,-0.027680399473791237
-17.25,250.0,168.0,-5.950594777514306,168.0,168.0,168.0139150300197,-0.0274254848964939
-17.0,250.0,168.0,-5.950594777514306,168.0,168.0,168.0298393141696,-0.02691829776669063
-16.75,250.0,168.0,-5.950594777514306,168.0,168.0,168.05851525890296,-0.026004971304616636
-16.5,250.0,168.0,-5.950594777514306,168.0,168.0,168.1052908551735,-0.024515172441826372
-16.25,250.0,168.0,-5.950594777514306,168.0,168.0,168.1745740806075,-0.022308507456414106
-16.0,250.0,168.0,-5.950594777514306,168.0,168.0,168.26812479838517,-0.0193289248520093
-15.75,250.0,168.25,-5.825092434881454,168.25,168.25,168.38404706951587,-0.015636810128261465
-15.5,250.0,168.5,-5.699590092248602,168.5,168.5,168.51760957661537,-0.011382855351558191
-15.25,250.0,168.75,-5.5740877496157495,168.75,168.75,168.6640275743507,-0.006719454264024065
-15.0,250.0,169.0,-5.448585406982898,169.0,169.0,168.82218421153834,-0.001682178483250877
-14.75,250.0,169.0,-5.305021387926989,169.0,169.0,168.99700667707287,0.0038859025485139397
-14.5,250.0,169.0,-5.161457368871081,169.0,169.0,169.19819792252054,0.010293827034128598
-14.25,250.0,169.0,-5.017893349815172,169.0,169.0,169.4345059878895,0.017820219322504813
-14.0,250.0,169.0,-4.874329330759264,169.0,169.0,169.70536364367024,0.026447013200795382
-13.75,250.5,169.75,-4.797163600686439,169.75,169.75,169.99399694733836,0.03563995999042078
-13.5,251.0,170.5,-4.7199978706136125,170.5,170.5,170.2662089480716,0.0443098896431527
-13.25,251.5,171.25,-4.642832140540786,171.25,171.25,170.47682198620302,0.05101789744453128
-13.0,252.0,172.0,-4.565666410467961,172.0,172.0,170.58172407678592,0.0543590203315765
-12.75,252.0,171.5,-4.673453589677953,171.5,171.5,170.55060266642974,0.05336780599218272
-12.5,252.0,171.0,-4.781240768887946,171.0,171.0,170.37535053863374,0.04778604025301587
-12.25,252.0,170.5,-4.8890279480979375,170.5,170.5,170.07186549513085,0.03812006678109407
-12.0,252.0,170.0,-4.996815127307929,170.0,170.0,169.67615191034915,0.025516621916627097
-11.75,252.0,169.25,-4.9420698938756615,169.25,169.25,169.23728960780156,0.01153889396901852
-11.5,252.0,168.5,-4.887324660443393,168.5,168.5,168.8094001894744,-0.002089348525992925
-11.25,252.0,167.75,-4.832579427011124,167.75,167.75,168.44350606837827,-0.013743045944572842
-11.0,252.0,167.0,-4.777834193578856,167.0,167.0,168.17999043899854,-0.022135996890759936
-10.75,252.5,167.25,-4.808422052635778,167.25,167.25,168.04286726495258,-0.026503358614473428
-10.5,253.0,167.5,-4.839009911692699,167.5,167.5,168.03727982962246,-0.026681317966451977
-10.25,253.5,167.75,-4.86959777074962,167.75,167.75,168.1509158059789,-0.023062021541694528
-10.0,254.0,168.0,-4.900185629806542,168.0,168.0,168.3584338083087,-0.016452590373971284
-9.75,254.0,168.5,-4.793112195549066,168.5,168.5,168.62738305136284,-0.007886579282785048
-9.5,254.0,169.0,-4.686038761291589,169.0,169.0,168.9244531918169,0.0015750800589269013
-9.25,254.0,169.5,-4.578965327034112,169.5,169.5,169.22125552454315,0.011028209746714023
-9.0,254.0,170.0,-4.471891892776636,170.0,170.0,169.49912718930221,0.01987839922939365
-8.75,253.5,170.0,-4.315203271948606,170.0,170.0,169.7515214213058,0.027917134591287928
