condition,ROI_ID,ROI_label,n_profiles_averaged,individual_profile_valid_fraction,mean_profile_valid,flag,edge_width,FWHM,halo_decay_distance,max_gradient,contrast,CNR,peak_to_noise
before,R01,left outer upper arm,11,1.0,True,,9.066239952885358,12.251466218810888,3.941223930266643,0.11623022456898557,38.85301001926618,6.822043526726301,18.55030228448775
before,R02,right outer upper arm,11,1.0,True,,8.648093570276028,12.704056615642621,3.4666882431088615,0.11892439092583967,36.56285962245795,6.947672822497063,15.830742627127776
before,R03,left lower forearm boundary,11,1.0,True,,9.575221990230009,14.420650617470017,nan,0.1040621335176147,33.923627576008585,4.3047787429367,5.864557709624644
before,R04,right lower forearm boundary,11,0.6363636363636364,True,,8.99124639000867,12.657062726883165,3.089900789391879,0.1343942831291236,33.888302894445104,5.950819709750465,12.638002862619174
before,R05,left lapel diagonal,11,0.45454545454545453,True,,7.193747608657316,10.88091374778566,2.6415637208433136,0.16023063636287727,27.55361180634216,6.653856480918314,15.773322382274813
before,R06,right lapel diagonal,11,1.0,True,,8.543193419749677,10.71476205771161,2.1692798820784436,0.12707982835585208,30.599750355147222,6.090465637236124,9.719548088787517
after,R01,left outer upper arm,11,0.6363636363636364,True,,4.3283352678177245,7.061495983435377,1.3392946046576644,0.269857465282398,27.471903096903134,7.328170597741492,15.227030109272253
after,R02,right outer upper arm,11,0.6363636363636364,True,,8.574354350104914,7.168259942022,0.6258603065636847,0.24368142805554927,23.147789710289743,6.065506260776247,8.08214314512126
after,R03,left lower forearm boundary,11,0.45454545454545453,True,,12.21451116970368,9.59363368015193,0.20334506122920346,0.28757295403589345,28.005244755244775,5.63580416793757,6.591230054883921
after,R04,right lower forearm boundary,11,0.5454545454545454,True,,3.744183037972453,5.7319044121933915,1.4995931733958965,0.2574299688648421,24.17475135777528,5.417285748457206,15.890875869222217
after,R05,left lapel diagonal,11,1.0,True,,5.558357473111087,7.767527975673612,1.5397062724657262,0.19477940723608833,22.364198346986882,6.634069821575335,12.65888189341213
after,R06,right lapel diagonal,11,0.7272727272727273,True,,6.01346849109035,8.858828248120727,3.147051039279823,0.19241971916081202,16.031312059985936,6.866886766905422,22.499680990239735
